"","disable","computer","poverty","a85a","a7584","a6574","black","asian","aindian","latino","chci","sparent","a5564","a2034","Diabetes_Incidence","Poor_health","Adult_obesity","Food_environment_index","Physical_inactivity","Uninsured","Adult_smoking","Low_birthweight","per_Female","Excessive_drinking","Primary_care_physicians","Access_to_exercise_opportunities","State"
"260",12.3,84.8,13.9,2.1,4.9,8.5,0.1,0.6,41.6,1.3,136.66,8.8,14.3,17.7,8.6,0.1721087509,0.348,4.8,0.251,0.1783919598,0.2179546549,0.061630219,0.475346687,0.179066185,0.000257998,0.41517976,"South Dakota"
"261",15.2,84.8,14.6,2,5,9,0.8,2.9,2.4,41.8,122.95,6.7,12.3,18.6,7,0.2068696217,0.27,8,0.211,0.1161034306,0.1400330581,0.062251176,0.493929144,0.176383182,0.000249848,0.486238532,"California"
"262",17.2,92.5,11.1,2.3,5.2,10.5,1.5,4.6,1.2,16.3,143.59,4.9,12.9,23.8,8.9,0.1627319333,0.254,6.8,0.199,0.0808936699,0.1415561774,0.059578207,0.505267473,0.189385845,0.000616651,0.733018182,"California"
"263",12.2,90.5,14.6,1,3.1,5.8,6.4,3.9,1.6,54.5,124.36,10,9.4,25.2,10.5,0.2171846518,0.259,7.8,0.197,0.0888019641,0.1454645021,0.063791554,0.449484261,0.191670884,0.000410691,0.44600672,"California"
"264",16.5,88.4,7.5,2.1,7.7,17.3,0.9,1.2,1.5,8.9,144.77,3.6,19.5,12.9,6.9,0.1377933828,0.233,7.4,0.157,0.087462908,0.1232064431,0.083557952,0.499382617,0.18029003,0.000977783,0.979507173,"California"
"265",11.6,94,6.1,2.4,5.6,11.5,1.9,3.6,0.9,22.5,150.85,4,13.8,22.1,7.8,0.1312974492,0.229,7.9,0.147,0.0802589595,0.1121189403,0.05864164,0.493327725,0.205118495,0.000852875,0.896738949,"California"
"266",13.2,89.2,18.3,1.6,3.3,7,4.8,10.3,1.2,53.1,129.87,9.4,10.4,22.6,9.6,0.2417111184,0.268,7.8,0.212,0.1081741509,0.1418186937,0.076800392,0.501178163,0.160947999,0.000652401,0.794303832,"California"
"267",11.1,87.5,17.2,1.2,3,6.4,5.5,4.7,1,53.3,125.56,8.7,10.4,23.1,10.5,0.240440379,0.316,7.8,0.236,0.0965264341,0.1619314053,0.071404772,0.487047745,0.194781733,0.000490832,0.780622678,"California"
"268",8.5,95.3,7.4,1.9,4.3,8.1,1.8,20.5,0.5,34.1,150.59,5.2,12.5,21.1,8,0.1529273031,0.192,8.9,0.163,0.1002997636,0.0999516076,0.063563526,0.506531376,0.169784091,0.000949278,0.970935795,"California"
"269",10.9,92.7,6.1,2,4.3,8.7,1.8,7.3,0.8,42.7,145.32,5.2,13,20.2,7.6,0.1494540915,0.207,9,0.173,0.0992689907,0.1064246705,0.061671233,0.505040377,0.188261644,0.000767751,0.970211996,"California"
"270",21.1,89.6,7.4,3,7.9,16.6,0.7,1.5,0.8,12.1,137.28,4.9,18.3,13.5,7.2,0.1284324303,0.258,8,0.194,0.0714307407,0.1174399119,0.050509165,0.500188174,0.18291472,0.000490765,0.757777875,"California"
"271",13.6,89,13.3,2,4.7,8.3,1.9,15.7,0.9,31,129.42,8.8,12.1,20.3,9.6,0.182410647,0.297,6.9,0.207,0.1100917431,0.1307124651,0.063056219,0.501639921,0.169200078,0.000818967,0.261587342,"California"
"272",8.2,95.3,4,2.3,4.6,8.8,2.3,28.7,0.4,24.4,162.39,4.2,13,20.3,7.4,0.1152598811,0.187,8.9,0.155,0.0570542789,0.0908424947,0.068540745,0.507061351,0.169358258,0.001028577,0.962473432,"California"
"273",19.6,90.5,7.9,3,7.5,15.1,1.8,1.4,1.8,12.2,139.84,4.6,16.6,17.2,6.7,0.1384355252,0.221,7,0.166,0.0724518709,0.1229873162,0.058294574,0.480113003,0.190923355,0.000856467,0.770125531,"California"
"274",12.5,91,11.6,1.5,3.6,7.4,7,15.6,0.6,41.4,129.99,7.7,11.1,20.8,9.9,0.2041223831,0.28,7.8,0.221,0.0859779087,0.122277161,0.071466697,0.501121017,0.178657016,0.000589446,0.730310256,"California"
"275",19,90.8,6.2,3.3,6.9,16.4,2.4,1.3,0.8,13.9,138.39,3.6,16.8,14.5,8.3,0.130682275,0.253,7.9,0.182,0.0689542484,0.1104443698,0.07239819,0.467699222,0.191707224,0.000567552,0.876086215,"California"
"276",14.7,93.1,6,1,6.2,18.3,1.7,1,1.4,18.4,152.08,2,19.3,13.9,5.6,0.1258615293,0.18,7.8,0.148,0.1322785491,0.1390336175,0.081683168,0.498288471,0.163787455,0.000890544,0.904832837,"Colorado"
"277",9.6,93.2,9,1.5,3.1,7,9.2,3.7,0.9,29.9,159.9,5.7,10,29.2,6.3,0.1433583541,0.166,7.9,0.124,0.1212764095,0.1592843582,0.090627037,0.499067902,0.256606818,0.001295153,0.998260458,"Colorado"
"278",16,85.3,4,2.9,5.7,9.7,2.5,0.2,0.4,19.1,136.07,3.9,13.8,18.9,6.9,0.1423470917,0.274,8.1,0.239,0.1433955799,0.1446163772,0.081751825,0.435509457,0.178285507,0.000257798,0.199274486,"Colorado"
"279",8,94.9,4.7,1.3,2.9,8.8,0.6,0.3,1,9.4,168.62,4,12.5,28.1,6.1,0.1187966325,0.153,7.7,0.127,0.1168957275,0.1558552523,0.100864553,0.459288152,0.225309786,0.000746873,0.962150874,"Colorado"
"280",11.5,95.1,3.1,2.4,5.9,19.4,0.3,0.7,0.3,2,165.06,2.9,20.8,11.3,6.7,0.1066755091,0.184,8.3,0.149,0.1044050343,0.1263184499,0.124401914,0.498249949,0.180897026,0.001065871,0.694319207,"Colorado"
"281",18.2,85.6,12.6,5,7.2,10.9,0.8,0.9,0.6,13.4,136.72,6.2,15,12.4,6.8,0.1366786945,0.214,8.1,0.202,0.1118568233,0.1492117796,0.064516129,0.497714998,0.162690934,0.00041684,0.642286675,"Colorado"
"282",10.3,93.1,6.7,1.2,3.2,7.4,1.2,1.6,0.8,29.4,142.12,6.2,11.5,21.5,8,0.1400767253,0.264,8.6,0.178,0.0844253656,0.15520743,0.079293256,0.496188952,0.205620025,0.000483915,0.754790863,"Colorado"
"283",6.7,98.2,1.9,1,2.9,7.5,1.5,4.8,0.4,8.7,171.78,4.7,12.4,15.9,5.5,0.0828916695,0.175,9,0.103,0.0353164461,0.0952750229,0.087201414,0.502309574,0.196925569,0.0006669,0.933438425,"Colorado"
"284",13.1,86,10.3,1.3,1.6,7.7,0.1,0.8,1.5,32.4,141.92,4.4,13,27.1,6.8,0.1493420419,0.193,8.5,0.159,0.1174833823,0.1534234743,0.121783877,0.462457338,0.198446738,0.000801603,0.980164159,"Colorado"
"285",9,90.4,5.1,1.6,3.9,10.9,0.5,0.7,6.6,12.8,159.75,3.9,15.6,19.8,5.4,0.1118126011,0.168,8.2,0.129,0.1022327198,0.1293908747,0.074529289,0.495082969,0.205881126,0.001042276,0.827580161,"Colorado"
"286",6.5,97.7,1.8,1.2,4.5,12.1,1,2.2,0.1,10.1,169.3,7.8,15.8,21.1,5.9,0.0959696095,0.154,8.3,0.104,0.111804996,0.1270058651,0.096566524,0.476509689,0.232045759,0.000843313,0.949031957,"Colorado"
"287",20.2,78.1,9.7,2.2,5.8,11.4,0.9,0.1,2.4,44.4,137.95,5.5,14.6,15.7,7.6,0.1716064728,0.227,8.5,0.172,0.1290393252,0.1369843681,0.104347826,0.506402997,0.157166157,0.001039591,0.77991988,"Colorado"
"288",26.1,81.7,26.9,2.6,4.5,10.7,4.1,0.2,1,32.1,127.2,7.1,12.5,24.8,7.4,0.2076010899,0.248,7.3,0.224,0.1047865459,0.206645425,0.108695652,0.341921174,0.177814935,0.000171527,0.844283736,"Colorado"
"289",24.6,83.3,19,1.8,3.3,8.3,3.5,0.6,1.4,31.9,127.88,6.9,11.3,27.6,7.5,0.2350594932,0.225,7.8,0.191,0.0952991453,0.2202534102,0.093117409,0.278011942,0.178418367,0.000179791,0.33127254,"Colorado"
"290",9.7,96,5.1,1.7,4.1,9.4,1,2.2,0.8,11.5,163.11,4.2,12.6,25.2,5.3,0.1036782733,0.178,7.9,0.132,0.0699072815,0.1260744805,0.081422792,0.501016197,0.21505528,0.000863369,0.939278443,"Colorado"
"291",14.2,89,6.3,3.1,5,9.1,0.8,0.8,0.8,16.8,137.29,4.2,12.7,20.5,8.1,0.137165516,0.289,7.7,0.227,0.1105276976,0.1563803407,0.06779661,0.444135225,0.209623325,0.000726085,0.83019948,"Colorado"
"292",13.8,96.2,5.4,0.9,4.7,15.5,0.8,0.8,0.4,6.6,156.29,3,21.1,13.8,5.7,0.090573949,0.216,8.5,0.183,0.0780469663,0.1351400084,0.132877753,0.492118288,0.197511344,0.000598674,0.812077088,"Colorado"
"293",8.9,95.7,3.6,1.3,3.4,10.9,0.4,1,1,7,153.51,3.2,18.7,13.5,5.3,0.1007970566,0.213,8.4,0.18,0.0761895726,0.1320906097,0.090541633,0.497166185,0.187765996,4.04285e-05,0.500519796,"Colorado"
"294",24.1,82.2,11.7,2.4,7.1,14.2,0.9,1,3.8,41.5,136.49,4.7,15.9,18.1,9.3,0.1832656262,0.232,7.8,0.24,0.1091451292,0.1505132109,0.104338843,0.480465149,0.164808365,0.000711339,0.74585671,"Colorado"
"295",15.9,88.6,6.3,3.1,5.2,9,8.2,0.4,0.8,22.5,130.58,5.1,12.7,22.8,6.8,0.1495136071,0.237,7.3,0.191,0.0898253396,0.1557505296,0.1043257,0.415913521,0.196510177,0.000179953,0.05670386,"Colorado"
"296",5.7,96.6,2.5,0.2,3,9.5,1.1,0.6,0.4,14.3,162.25,2.7,14,24.6,5.6,0.1028664147,0.149,8,0.098,0.1186776242,0.1487980732,0.115209702,0.461150984,0.228378515,0.000760155,1,"Colorado"
"297",17.5,86.1,19.4,1.2,4,8.1,0.9,1.3,3.3,46.8,139.4,5.5,11.4,24.4,8.1,0.203566499,0.209,8.3,0.165,0.1288070579,0.1713742749,0.106982703,0.497297946,0.16960833,0.001091174,0.822984785,"Colorado"
"298",18.9,83.9,12.2,2.8,7.8,14.7,1.2,1.1,0.9,15.2,138.75,3.3,16.6,13.7,7,0.1529903871,0.231,7.9,0.196,0.1135088672,0.1648020374,0.092265943,0.500164247,0.158677328,0.000733847,0.735073662,"Colorado"
"299",18.9,89.5,10.2,2.1,6.6,12.5,4.6,0.7,1.4,13.3,137.15,4.9,15,19.4,7.6,0.1452895433,0.235,6.9,0.194,0.0955168377,0.1700836444,0.086009174,0.423175821,0.177933203,0.000514007,0.660238339,"Colorado"
"300",15.8,86.7,11,1.9,7.9,13.3,0.4,0.9,0.9,20.6,140,4,15.1,14.9,6.8,0.1491072656,0.2,7.4,0.162,0.1316330728,0.1396724274,0.075892857,0.506715536,0.156989122,0.000683828,0.758988274,"Colorado"
"301",11.2,88.5,8,1.5,5.5,8.3,3.6,0.5,0.4,36.1,129.1,9.8,12.4,19.6,7,0.1598597758,0.275,8.8,0.236,0.125974805,0.1625500302,0.066077854,0.499787791,0.165082698,0.000493653,0.756134806,"Colorado"
"302",16.9,83.2,13.6,2.3,5.2,9.9,0.8,0.6,1.5,38,131.46,6,13.8,17,7.8,0.1818593195,0.272,7.8,0.217,0.1379489849,0.1654185447,0.069727891,0.498406308,0.174854133,0.000250962,0.427695004,"Colorado"
"303",8.1,97.5,2.8,1.3,3.7,8.2,1.3,6.5,0.4,12.4,170.19,4.7,11.9,20.7,6.1,0.1009908956,0.19,8.4,0.129,0.0479920101,0.1283650941,0.08022806,0.504276331,0.210966697,0.001106586,0.990427454,"Colorado"
"304",11.1,89.7,10.2,2.5,7,10.6,1.3,0.6,0.1,10,135.24,5.5,15.3,18,7.5,0.1240961763,0.233,7.1,0.211,0.1058404168,0.1371799846,0.075471698,0.476976365,0.179680565,0.000205592,0.442874948,"Colorado"
"305",21,82.5,16.7,2.3,6.7,11.1,0.6,0.9,1.2,41.9,135.32,6.7,13.4,15.6,8.5,0.2289830646,0.278,7.3,0.207,0.1237807873,0.1785256841,0.091830272,0.505056026,0.150313596,0.000545167,0.707822208,"Colorado"
"306",14,89.4,7.4,2.4,7.7,16.8,12,1.2,0.3,9.2,143.98,4.7,16.2,15,9.4,0.1640621937,0.316,8.5,0.27,0.0937883593,0.1756139165,0.077988615,0.515770644,0.153042014,0.000653922,0.788693601,"Delaware"
"307",11.6,89.1,8.4,2.6,4.9,9.5,13.5,4,0.2,18.1,150.25,7.5,13.8,20.2,8.8,0.1292249666,0.27,8,0.21,0.0701754386,0.1364890156,0.081175815,0.517532896,0.178228753,0.000906373,0.956273617,"Connecticut"
"308",11.8,90.1,7.5,2.6,4.9,9.2,13.8,5.3,0.3,18,152.42,6.9,13.7,19.6,8.7,0.1284677417,0.263,8.2,0.212,0.0577438888,0.1258687662,0.08606842,0.514070658,0.183072392,0.000946597,0.965984873,"Connecticut"
"309",12.5,84.5,14.6,1.5,3.6,8,53.7,2.6,0.2,6.4,146.45,10.7,12.5,21.7,10.7,0.1970832623,0.325,5.8,0.274,0.1364939893,0.2051838684,0.114769491,0.524105957,0.131418338,0.000827231,0.868335267,"Tennessee"
"310",19.9,86.8,9.6,2,5.8,11.8,1.7,0.6,0.1,3.6,132.31,5.2,14.7,17.3,9.9,0.1790513984,0.337,8.1,0.335,0.1211273718,0.2123721872,0.07606325,0.507611843,0.13828818,0.000375657,0.576263933,"Tennessee"
"311",22.4,77.5,12.6,2.7,5.6,11.6,10.3,0.4,0.2,2.7,131.78,6.2,13.8,17.6,8.9,0.2155977206,0.311,7.4,0.372,0.1126327557,0.2108106302,0.078851413,0.513776164,0.128515765,0.000501612,0.27140453,"Tennessee"
"312",11.5,92.5,11,1.3,3.4,7.2,27.1,3.6,0.2,10.2,154.22,7.6,11.4,27.3,8.3,0.1687089723,0.304,7.1,0.255,0.1401242928,0.2094883479,0.087738073,0.518357417,0.176260741,0.000919149,0.88681961,"Tennessee"
"313",21.9,67.7,17.9,2.1,6.2,12.2,2.7,2.2,0.2,1.4,123.7,6.2,14.3,16.1,7.7,0.2314966401,0.323,6.7,0.335,0.1363858563,0.2427080585,0.062682216,0.494851833,0.124230942,0.000252239,0.127605812,"Tennessee"
"314",19.9,80.9,11.5,1.4,6,14.4,1.9,0.2,0.3,2.1,126.03,1.5,14.7,15,9.4,0.2099255074,0.317,8,0.328,0.1344086022,0.2336115145,0.113389626,0.50120783,0.130766566,0.000422654,0.196545563,"Tennessee"
"315",15.1,92.8,10.5,1,2.4,5.7,20.1,2.2,0.6,10,146.01,9,9.3,27.8,12.4,0.1971861039,0.308,6.8,0.284,0.088246869,0.2104055819,0.075366394,0.500040872,0.17169751,0.00041865,0.609785819,"Tennessee"
"316",23.4,75.9,17.6,1.9,6.1,12.8,1.9,0.2,0.9,2.4,124.94,8.5,15.4,16.2,11.1,0.2311466814,0.329,6.6,0.399,0.1166846071,0.248749882,0.091044222,0.518697294,0.122867434,0.000483477,0.762436207,"Tennessee"
"317",17.4,80.1,14.4,2.1,5.1,11,1.8,0.3,0.3,8.3,129.45,4.7,14.5,17.5,8.9,0.2091942153,0.306,8.1,0.301,0.154585942,0.2248234424,0.09015873,0.506585404,0.138254976,0.000417058,0.34342787,"Tennessee"
"318",22.1,84.7,15.9,2.7,5.7,11.4,10.3,0.4,0.3,4.4,129.37,7.7,14.2,16.2,12.1,0.2289051131,0.33,7.2,0.393,0.1271116943,0.2269704339,0.090687271,0.516188109,0.123455641,0.000489572,0.714339611,"Tennessee"
"319",16.4,87.9,10.3,1.3,4.1,8.7,18.4,0.8,0.3,2.8,134.28,8,13.3,18.6,9.7,0.1823565327,0.346,7.5,0.352,0.1030059208,0.2020288819,0.090222653,0.506908308,0.149484293,0.000323258,0.71585272,"Tennessee"
"320",19.3,83.6,14.2,2.3,4.8,10.1,12.9,0.8,0.6,3.4,130.91,10.1,13.1,17.5,9.8,0.2164749923,0.371,6.5,0.344,0.1030328343,0.2278908359,0.111311673,0.519067572,0.136688842,0.000554192,0.617373158,"Tennessee"
"321",14.6,87.8,8.4,2.3,5.1,9.9,19.1,2.1,0.2,5.6,147.17,6.4,13.4,20.7,10.6,0.1685368949,0.31,6.7,0.28,0.1125269073,0.2014660667,0.101586,0.517683333,0.143745731,0.001098566,0.898841775,"Tennessee"
"322",16.7,81.1,12.3,1.6,6.7,12.3,0.3,0.1,0.3,2.1,126.76,6.5,15,15.6,8.8,0.1987724238,0.344,8.3,0.318,0.1218869912,0.2203433385,0.087553648,0.502265681,0.13935498,0.000536577,0.732600297,"Tennessee"
"323",20.6,86.6,12.1,2.5,6.9,12.1,2,0.6,0.1,1.9,139.08,5.9,14.5,16.8,10.2,0.1778468367,0.319,7.1,0.309,0.1119729499,0.2150321407,0.084825117,0.514913798,0.117967514,0.001345741,0.784833857,"Tennessee"
"324",16.5,85.1,7,2.2,6.4,12.4,1.6,0.9,0.2,3.2,140.27,5.8,16,16.9,8.7,0.1428223179,0.277,8.2,0.252,0.0619380619,0.1776226101,0.070718232,0.49947313,0.194381679,0.000255346,0.383523161,"New York"
"325",16.7,86.4,10.8,2.7,5.3,11,2.1,0.8,0.4,3.1,137.12,8.4,14.9,17.7,11.1,0.1657626746,0.251,8.1,0.293,0.0671193463,0.2103836852,0.073012439,0.502582299,0.204233369,0.000518595,0.844807405,"New York"
"326",14,90.5,7.8,2.2,4.5,9.8,6.5,2.7,0.1,4.9,149.63,5.9,14.4,20.8,8.8,0.142048274,0.294,8.3,0.235,0.0519412021,0.1671435302,0.076311337,0.506078591,0.220203214,0.000524129,0.75858219,"New York"
"327",15.7,83.6,11.9,1.5,5.1,10,5.7,0.6,7.1,3.5,136.69,6,14,21.6,11.4,0.1509977126,0.267,7.4,0.306,0.0778342246,0.229049751,0.083548665,0.450455276,0.202810631,0.000611923,0.739161612,"New York"
"328",9.6,90.3,9.7,2.1,4.6,8.6,18.3,25.5,0.5,28,141.47,5.8,13,22.1,10.6,0.184805006,0.239,8.7,0.29,0.12944334,0.123078644,0.081205472,0.514988509,0.172198916,0.000643824,0.983931212,"New York"
"329",14.9,87.6,7.6,2.3,5.6,11,3.2,0.6,0.3,2.7,137.24,4.7,15.4,17.7,10.1,0.1427603234,0.308,8.3,0.258,0.0620888158,0.1902260533,0.078412623,0.481375405,0.196009071,0.000305319,0.679653885,"New York"
"330",10.3,91.2,11.8,2.4,4.9,8.9,14.8,12.2,0.4,25.8,170.6,4.7,11.4,29.3,6.6,0.1453223693,0.156,8.3,0.186,0.078594351,0.1326867152,0.084070026,0.525882533,0.26517786,0.001366966,1,"New York"
"331",14.6,87.5,8.2,2.7,5.1,10.6,4.3,0.6,0.1,3,139.76,6.5,15.6,18.4,9,0.1365135938,0.309,8.5,0.279,0.0669135279,0.2036139907,0.065209337,0.487407046,0.230619168,0.000293787,0.8104616,"New York"
"332",9.1,88.4,9.6,2.2,4.9,8.5,12.3,5.9,0.2,17.7,154.41,4.8,12.1,18.1,7.6,0.1408907799,0.235,8.8,0.263,0.0750406397,0.1170475495,0.061957697,0.510015913,0.159833285,0.000904805,0.930398124,"New York"
"333",13.9,86.6,9.8,2.5,5.4,10.6,7,1.1,1,3,143.12,6.4,15.7,18.4,10.8,0.1584632411,0.316,8.1,0.256,0.054728298,0.2154864701,0.081220626,0.512556787,0.181356338,0.000442037,0.837256143,"New York"
"334",16.9,87.8,6.6,2.9,6.9,13,3.2,0.3,0.2,3,144.61,4.7,16.7,17.3,8,0.1340950164,0.267,8.6,0.278,0.0681722394,0.1671410504,0.070918823,0.478846255,0.221482458,0.000389833,1,"New York"
"335",8.4,93.6,3.8,3,4.9,9.6,11.7,9.7,0.3,16.9,159.47,4.1,14.2,18,7.3,0.1225295812,0.23,9.7,0.251,0.0653216964,0.1074407842,0.079786644,0.514312156,0.179208404,0.001429463,0.988281728,"New York"
"336",17.6,89,8.3,2.5,5.8,12.5,1,0.7,0.1,1.9,141.96,4.1,16.5,16.5,9.7,0.1688335105,0.272,8.3,0.248,0.0650642354,0.1745948645,0.06893617,0.502734958,0.196046176,0.00082481,0.632502862,"New York"
"337",19.1,86.3,8.9,2.1,6.3,11.8,1,0.5,0.4,2.2,136.96,5.6,15.8,16.6,10.3,0.1621190431,0.312,8.5,0.291,0.0648313974,0.1887345097,0.068859771,0.498939871,0.194998715,0.00036852,0.761950988,"New York"
"338",14.9,90.6,9.8,1.6,3.9,7.7,6.1,1.8,0.5,7.5,140.77,7.2,10.7,27,10.1,0.174705054,0.308,7.6,0.318,0.0653575253,0.1919476057,0.066178465,0.473922425,0.231046882,0.000493051,0.636295589,"New York"
"339",9.6,92.8,4.5,2.2,5,9.3,7.8,3.9,0.3,19.3,151.78,4.5,14.2,18.2,8.3,0.1415251996,0.248,9.4,0.244,0.0693884948,0.1503843029,0.076875293,0.50800726,0.194252306,0.000739884,0.948651689,"New York"
"340",13.7,86.8,7.2,1.8,4.9,10.6,4.1,0.4,0.5,3.3,136.18,5.6,14.9,19.5,9.9,0.1619844868,0.272,8.2,0.264,0.0602932134,0.2192639025,0.06,0.454291388,0.194482369,0.000438885,0.707057289,"New York"
"341",15,90,12,1.8,4.4,9.5,1.1,0.7,0.2,2.6,137.13,6.6,14.8,19.2,8.6,0.1613606362,0.3,8,0.279,0.0648094291,0.2172052696,0.071985076,0.498777177,0.236098264,0.000366221,0.753163158,"New York"
"342",15.3,88.8,8.5,2.1,5.3,11,2.8,0.8,0.2,4.4,140.57,5.7,15.5,16.6,10.8,0.1627591731,0.321,8.5,0.286,0.0637054663,0.2144009117,0.071594878,0.504548558,0.187829063,0.000284321,0.624280169,"New York"
"343",15.7,88.2,10.9,3,5.8,9.9,5.7,4.3,0.2,4.2,146.15,6,14.2,21.1,8.8,0.1720023675,0.267,8,0.259,0.0641665469,0.199102178,0.077041172,0.508575056,0.214385137,0.000824147,0.905672981,"New York"
"344",13.2,87.8,9.8,2.7,5.1,9.8,13.5,3.6,0.5,5.5,151.16,7.1,14.4,20.9,9.7,0.1590209225,0.292,7.8,0.25,0.054297432,0.177520262,0.084373605,0.515468283,0.215957096,0.000804268,0.948236203,"New York"
"345",16.4,86.1,11.5,1.5,5.6,11.4,8,1.7,0.3,16,140.57,6.2,14.8,17.6,9.4,0.1903673516,0.298,8.2,0.281,0.0878188861,0.1819901996,0.090368609,0.485915964,0.184674533,0.000387302,0.667633822,"New York"
"346",12,89.7,8.2,1.8,3.8,8.1,11,2.7,0.4,20.5,146.54,5.9,12.7,19.1,8.5,0.1609237728,0.301,8.7,0.271,0.0647626722,0.1513197744,0.071354942,0.499171963,0.177360051,0.000730841,0.847558964,"New York"
"347",18.4,84.7,10.3,2.6,7.6,14.1,0.9,0.7,0.5,4,143.5,5,15.3,16,8,0.1680267957,0.321,7.5,0.259,0.1195326279,0.1736825102,0.091574168,0.519198444,0.157762868,0.00073495,0.809251982,"North Carolina"
"348",10.3,90.2,12.2,1.8,4.7,9.1,26.2,2.4,0.4,12.8,148.31,8.2,13,19.7,10.1,0.185246167,0.324,6.5,0.239,0.1309736372,0.1841792723,0.103388604,0.525096161,0.174272233,0.001086665,0.816314484,"North Carolina"
"349",13.6,87.5,11.9,2.1,4.7,9.2,23.7,1.4,0.3,19,138.31,8.7,13.8,18.6,11.7,0.1857432608,0.333,7.1,0.292,0.1155919375,0.1810892862,0.08729334,0.516046237,0.170820156,0.000555482,0.933613572,"Indiana"
"350",15.3,89.3,7.5,1.7,6.3,9.8,0.7,0.8,0.2,4.8,135.28,5.8,14.2,18.2,9.1,0.1744736441,0.294,7.9,0.281,0.1302988865,0.2019763411,0.071118012,0.495771393,0.176999491,0.000366233,0.716845032,"Indiana"
"351",11.5,79.7,12.6,2.4,4.6,8.1,1.1,0.3,0.1,4.5,128.83,5.7,11.8,17.6,6.7,0.1783007986,0.326,8.3,0.286,0.1307247064,0.2114990525,0.071914894,0.502895095,0.170596399,0.000343053,0.545758572,"Indiana"
"352",11.4,87.4,6.4,1.8,5.8,9.2,1.3,0.7,0.3,7.8,138.88,4.8,14.5,16.9,6.8,0.1544257305,0.303,8.8,0.223,0.0991965477,0.1672198243,0.073731501,0.502185561,0.193079953,0.000777184,0.716369453,"Indiana"
"353",17.4,88.6,12.3,2.6,5.7,10.8,7.8,1.3,0.6,3.4,138.72,7.5,14.1,17.9,9.5,0.1776040219,0.312,7.2,0.282,0.0970513013,0.2401113214,0.074191229,0.515151148,0.157979222,0.000581424,0.71737239,"Indiana"
"354",17.1,87.3,10.9,2.8,6.1,10.7,0.6,0.1,0.1,3.5,132.11,6.2,14.1,16.1,9.1,0.1695988747,0.363,7.6,0.294,0.118748448,0.2049102684,0.090478446,0.508691492,0.160621123,0.000198633,0.448511711,"Indiana"
"355",12.6,88.8,7.2,1.9,5.4,9.1,2.6,2.5,0.1,1.9,134.23,4.2,13.4,21.2,11.2,0.1548121404,0.321,8.3,0.326,0.0978597841,0.1928960509,0.071968191,0.474115824,0.189347424,0.000319276,0.546769223,"Indiana"
"356",17.6,80.3,10.1,1.5,5.2,10,0.1,0.3,0.4,1.3,129.33,5.9,14.9,16.9,7.9,0.1616256753,0.343,8,0.306,0.1347092094,0.2257325158,0.072883658,0.503071919,0.182470638,0.000323427,0.48662515,"Indiana"
"357",17.8,85.2,11.6,2,5.9,10.7,2.6,0.4,0.3,1.8,134.13,6.6,14.3,18.5,8.5,0.1634031207,0.377,8.1,0.283,0.1073230601,0.2129346734,0.077918171,0.480472373,0.167484974,0.000367459,0.634608386,"Indiana"
"358",19.4,86.9,10.5,1.7,6.1,9.8,2.8,0.9,0.1,2,136.22,6.5,13.7,19.8,11,0.1741273296,0.321,7.5,0.32,0.1075077743,0.2024445708,0.081947012,0.493641374,0.177399434,0.000896459,0.632284079,"Indiana"
"359",18.5,87.2,12.8,2.3,5.3,10.4,7.9,0.5,0.2,4.1,135.62,8.4,13.4,18.6,13.9,0.2036908056,0.357,7.1,0.282,0.1063228854,0.2399407851,0.085557966,0.501515902,0.150691929,0.000493359,0.749133976,"Indiana"
"360",17,84.7,7.2,2.1,6.1,10.7,0.2,0.6,0.2,3,130.45,6.6,14.9,16.8,7.8,0.1748158446,0.303,8.4,0.339,0.1222479722,0.1974188519,0.071278826,0.489731438,0.173120514,0.000465513,0.352111625,"Indiana"
"361",14.1,89,5.7,2.1,5.5,11.9,0.3,0.4,0.1,3.5,139.51,3.6,15,17.8,7.7,0.1436566273,0.343,8.1,0.308,0.1156349382,0.200485632,0.072842734,0.490385743,0.180087563,0.000349121,0.659850812,"Indiana"
"362",13.2,92.7,6.7,2,4.3,9.3,2.1,1.2,0.9,14.6,147.06,6.7,13,21.8,9.1,0.1459795381,0.305,7.8,0.237,0.1140748031,0.1854070154,0.097038367,0.492642863,0.174369743,0.000700158,0.705541869,"Wyoming"
"363",6.9,95.3,2.1,1.5,3.4,9.2,1.2,1.3,0.3,15,167.91,3,12.7,23.7,3.8,0.1218169988,0.133,8.2,0.117,0.1529770534,0.1413726616,0.075578116,0.484023975,0.204511459,0.001210811,0.999295576,"Wyoming"
"364",17.8,86.5,11.5,1.5,6.1,10.3,8.2,0.3,0.5,8.6,132.7,4.8,14.7,16.4,6.8,0.1476780109,0.29,6.8,0.305,0.1856842737,0.1554461149,0.076579261,0.503234153,0.188542055,0.000246287,0.288051082,"Texas"
"365",11.7,90.1,10.3,1.2,3.1,7.4,24.9,1,0.9,30.1,132.75,5.4,10.9,24.9,9.7,0.1932603446,0.358,6.3,0.303,0.2345799681,0.1786898579,0.07911618,0.502923277,0.204516493,0.000102762,0.452447633,"Texas"
"366",12.8,91.4,6.2,2.1,3.9,9.4,1.4,0.4,0.4,39.7,136.92,5.3,14.2,17,6.6,0.1648051585,0.324,8.9,0.249,0.1602183776,0.1338470755,0.072644722,0.498824257,0.19319987,0.000462963,0.436273825,"Texas"
