"","disable","computer","poverty","a85a","a7584","a6574","black","asian","aindian","latino","chci","sparent","a5564","a2034","Diabetes_Incidence","Poor_health","Adult_obesity","Food_environment_index","Physical_inactivity","Uninsured","Adult_smoking","Low_birthweight","per_Female","Excessive_drinking","Primary_care_physicians","Access_to_exercise_opportunities","State"
"116",20.8,84.1,10.1,1.6,7.3,15.2,0.5,0.5,1.7,11.6,133.5,4.6,16,14.6,7.4,0.175758602,0.305,8.3,0.294,0.2236277589,0.1803228366,0.072067829,0.500554939,0.147978436,0.000578231,0.872366747,"Georgia"
"117",12.7,91.2,9.4,1.6,4.4,9.2,17.7,1.4,0.1,4.4,137.89,7.3,12.2,17.9,9.8,0.1466416612,0.32,7.9,0.245,0.1403749185,0.1797349128,0.088964927,0.513694225,0.16282031,0.000429869,0.645162831,"Georgia"
"118",17.2,84.5,14.3,1.3,4.4,8.7,3.8,1.1,1.3,15.8,127.42,8.9,12.6,18.5,9,0.1945911267,0.284,7.8,0.264,0.1940779891,0.2064161231,0.081496063,0.50421763,0.161442434,0.000477251,0.528213677,"Georgia"
"119",10.1,95,5.4,0.9,3.7,8.8,7,1.8,0.4,10.5,152.35,5.3,12.5,17.6,8.9,0.1250623923,0.275,8.6,0.214,0.1375224277,0.148834906,0.070927187,0.507441381,0.182586193,0.000360322,0.927327779,"Georgia"
"120",10.4,94.6,4.3,1.8,4.8,11,22.7,4.5,0.2,7.2,161.22,5,14.9,14.7,6.8,0.1264149794,0.328,8.4,0.199,0.1098945484,0.1340227548,0.077637131,0.515018768,0.162017771,0.001101938,0.877607515,"Georgia"
"121",11.6,92.5,9,0.8,3.2,8.5,20.7,2.5,0.1,3,144.05,7.8,12,18.3,9.7,0.1403667317,0.33,8.1,0.211,0.1216264557,0.1676817452,0.080380294,0.498380884,0.180882443,0.000684885,0.500141353,"Georgia"
"122",17.8,89.2,5.4,1.2,6.6,13.6,1,0.4,0.9,3.1,138.71,3.3,15.4,15.8,9.7,0.1261538802,0.28,8.8,0.275,0.1636752495,0.1564984164,0.073945409,0.506162429,0.16754223,0.000362929,0.652509259,"Georgia"
"123",18.5,79.4,19.3,1.4,5.2,9.3,27,0.7,0.3,5.8,128.48,8.4,12.2,18.1,9.5,0.222627841,0.322,7,0.282,0.1875952876,0.2122680908,0.107741936,0.518436535,0.141549738,0.000525578,0.597722519,"Georgia"
"124",15.4,93.7,7.6,1.6,5.2,13.2,1.1,0.6,0.1,4.7,144.92,3.6,14.2,17.7,7.8,0.1330261003,0.283,8.9,0.22,0.1678444291,0.1562979182,0.075109649,0.500254194,0.177346209,0.000643445,0.971518137,"Georgia"
"125",10,93,10.7,1.2,3.2,7,44.1,7.1,0.4,7.2,165.83,7.9,11.2,24,8.4,0.1386773986,0.258,6.7,0.189,0.1396064102,0.1481259133,0.105029507,0.516162824,0.17816325,0.001068712,0.944124417,"Georgia"
"126",14.6,87.5,11.6,2.3,5.1,12.8,0.6,22.5,0.5,12.7,145.83,4.9,15.4,17.2,8.9,0.1525076312,0.228,7.1,0.2,0.0589203568,0.1499135316,0.080372501,0.502189479,0.218425958,0.000733093,0.725722529,"Hawaii"
"127",10.9,92.1,5.4,2.9,5,9.4,2.4,42.7,0.2,9.8,150.04,4.3,11.9,22.6,10.4,0.1233492266,0.222,8.1,0.202,0.0437994664,0.1117734823,0.084082232,0.495811526,0.188853397,0.000899156,0.96875495,"Hawaii"
"128",9.7,90.2,5.9,2.3,5.4,11.7,0.4,33,0.6,11.1,145.27,3.8,14.5,17.1,7.9,0.1272945211,0.202,7.7,0.193,0.0523054804,0.1321722256,0.074098361,0.502394869,0.204350735,0.00072489,0.928872725,"Hawaii"
"129",14,93.3,10.6,1.7,4.2,7.8,0.2,0.6,1.2,27.2,132.27,6.1,11.1,18.1,9.5,0.1810630677,0.346,7.8,0.229,0.1826283988,0.1424860772,0.074850299,0.490767529,0.150916247,0.000680677,0.658112583,"Idaho"
"130",15.7,94.6,2.7,5.1,6.1,16.4,0.1,0.3,0.2,4.6,148.26,3.7,18.2,13.3,7,0.1307948514,0.234,7.3,0.175,0.13540866,0.1323783792,0.061688312,0.485137195,0.169225187,0.001583688,0.864023525,"Idaho"
"131",15.6,93.7,10.3,1.3,4.8,7.7,0.3,0.1,0.9,6.8,135.8,1.9,11.4,16.6,7,0.1434276366,0.333,8.2,0.208,0.1357814599,0.1414941795,0.070656092,0.489631508,0.161866211,0.000305951,0.727358048,"Idaho"
"132",17.2,89.3,8,3.1,5.8,10.7,0.4,0.8,6.1,3.9,140.98,5.8,13.9,19.5,8.8,0.1530171091,0.322,7.9,0.231,0.1122044769,0.1480407338,0.054062127,0.505387798,0.167520714,0.000624251,0.735667898,"Idaho"
"133",13.6,92.1,9.1,1.8,5.5,11.1,0.3,0.9,1.4,4.6,144.42,5.8,13.7,18.2,8,0.1536429506,0.262,7.4,0.203,0.1162408729,0.1598934293,0.05677356,0.506632709,0.188651734,0.000791508,0.924083354,"Idaho"
"134",14.5,90.6,13.1,2.2,4.5,9.1,0.2,0.3,1.3,35.3,125.78,5.8,12.2,18.3,8.7,0.2027611826,0.359,8.4,0.237,0.1941896024,0.1444815011,0.08768822,0.495682965,0.146506287,0.000293241,0.677313269,"Idaho"
"135",13.7,91,10.1,1.6,5,8.4,0.8,1.8,0.7,16.4,137.35,6.3,11.4,20.2,9.8,0.1580280885,0.307,8.2,0.237,0.1497418494,0.157246233,0.069416618,0.506274397,0.163664781,0.000740516,0.808002072,"Idaho"
"136",10.1,93.9,8.4,1.9,4.4,11.4,0.4,1.1,0.7,22.6,148.19,7.6,16.6,15.1,5.1,0.1361302093,0.183,8.2,0.125,0.1692889309,0.1212032672,0.074856046,0.493598275,0.186828795,0.001065209,0.792992141,"Idaho"
"137",13.8,90.8,7.4,2.3,5.6,17,0.3,1,0.4,4.6,146.14,3.3,22.7,8.9,8.5,0.1407855321,0.264,5.8,0.21,0.1344553357,0.1498177432,0.075862069,0.481471084,0.145776652,0.000283366,0.801223677,"Idaho"
"138",13,87.5,13.1,2.5,4.9,9.4,0.1,0.9,0.5,29.1,128.85,7.8,12.7,17.2,7.6,0.1894293273,0.325,8.7,0.244,0.219001996,0.1578032044,0.072157931,0.486993744,0.161880339,0.00032714,0.760605277,"Idaho"
"139",10.3,93.2,6.6,1.4,3.9,8.6,1.4,2.5,0.5,8.2,154.78,5.5,12.1,20.4,6.9,0.116468335,0.256,7.9,0.155,0.0946026962,0.1178129846,0.064693137,0.498718549,0.193106133,0.000886666,0.893084246,"Idaho"
"140",14.2,89.1,13.8,2.5,6,12,0.9,0.7,1.1,4.3,137.92,5,13.3,15.7,7.1,0.1427137252,0.273,7.7,0.204,0.108944468,0.1366209233,0.088850174,0.503952902,0.156815157,0.000844309,0.489475443,"Idaho"
"141",15.8,92.9,8.3,1.6,3.9,8.2,0.3,0.6,6.4,18,137.43,5.7,11.9,17.8,9.4,0.1904175016,0.317,8,0.267,0.1600124523,0.1563274858,0.078051643,0.498595164,0.164451313,0.000377862,0.448900388,"Idaho"
"142",21.2,84.4,8.5,2.4,8.6,15.7,0.5,0.4,2.2,4.2,135.97,2.8,17.1,14.7,9.1,0.1474547962,0.292,7.2,0.244,0.1294635004,0.1514430742,0.059866962,0.449335059,0.159497218,0.001177025,0.556329186,"Idaho"
"143",16.9,93,9.7,2.2,5.2,11.4,1.1,2.7,1.1,8.9,148.28,5.5,13.6,22.5,8,0.139071777,0.273,7.3,0.166,0.087936049,0.1520904378,0.066239316,0.507622071,0.192840093,0.000865264,0.849537267,"Oregon"
"144",20.8,73.3,14.8,3.1,7.7,14.4,35.4,0.1,0.6,3,133.07,7.3,16.2,15.3,10.4,0.1857653347,0.307,7.4,0.265,0.1464842896,0.1853339828,0.110029211,0.51618542,0.132985217,0.000611306,0.563601919,"Virginia"
"145",13.6,86.7,6,2.1,6.5,11.9,4.3,0.6,0.3,2.8,137.76,4,15.4,16.9,10.4,0.1346691934,0.346,8.9,0.256,0.1146970251,0.1608787506,0.06539075,0.491926344,0.176721677,0.000470975,0.561884746,"Virginia"
"146",11,90.8,4.8,2.4,6.8,12,5.9,3.1,0.2,3.1,151.71,5.1,14,16.5,10.2,0.1405695574,0.27,8.9,0.266,0.0821634622,0.151007067,0.072202166,0.519403176,0.170896823,0.001207512,0.87465359,"Virginia"
"147",13.9,83.8,7.6,3.4,8.2,13.9,3.3,0.7,0.4,1.9,141.01,4.3,16.2,15,9.5,0.1456411669,0.241,8.4,0.238,0.1247311828,0.1550191256,0.070837167,0.504733834,0.160521577,0.001073633,0.668355225,"Virginia"
"148",15.8,89.2,9.8,3.1,7.2,10.1,15.3,4.2,0.3,5.9,142.24,9.8,12,18.2,7.1,0.1535080757,0.258,8.4,0.267,0.1042078509,0.1608854227,0.1098785,0.537699752,0.156593669,0.001459035,0.912067084,"Virginia"
"149",13.4,88.7,4.9,2.1,6.7,13.1,3,0.7,0.1,1.7,145.57,3.3,16.3,14.6,6,0.1142446323,0.253,8.7,0.238,0.0767945944,0.138704268,0.068585426,0.504950197,0.182475964,0.000539779,0.89302522,"Virginia"
"150",10.9,95.3,6.6,1.4,5.6,8.6,15,6.5,0.4,7.1,172.34,4,9.3,34.5,8.5,0.1794489175,0.264,7.4,0.241,0.1295805207,0.161079044,0.054750403,0.540620481,0.186145561,6.64364e-05,0.996872334,"Virginia"
"151",17.4,78.3,10,2.3,7.6,13.8,0.7,0.1,0.3,3.5,128.36,3.7,15.6,15,8.9,0.1655472592,0.305,8.7,0.245,0.1394320399,0.1728010716,0.068906606,0.505367241,0.156604359,0.000908357,0.478663205,"Virginia"
