"","disable","computer","poverty","a85a","a7584","a6574","black","asian","aindian","latino","chci","sparent","a5564","a2034","mortalityrate","Poor_health","Adult_obesity","Food_environment_index","Physical_inactivity","Uninsured","Adult_smoking","Low_birthweight","per_Female","Excessive_drinking","Primary_care_physicians","Access_to_exercise_opportunities","State"
"465",12.4,94.8,7,1.3,3.5,7.7,6.4,2.8,0.8,17.1,155.64,6.4,11.7,24,0.0205923883808499,0.1243687395,0.225,7.5,0.161,0.0807813482,0.1367758512,0.094992909,0.495411778,0.182684381,0.000598988,0.896360542,"Colorado"
"466",9,95.4,5.5,1.5,3.4,7.9,10.8,6,0.7,19.2,156.88,6.5,12.3,21.7,0.0152023525256636,0.1197505455,0.218,8.2,0.166,0.0937472738,0.1344736207,0.095253206,0.505985232,0.198538744,0.000842978,0.982952887,"Colorado"
"467",11.3,92.9,7.3,1.8,4.5,8.8,25.2,5.5,0.3,9.9,151.44,6.6,13.3,21,0.0246721553273083,0.1459408012,0.292,8.2,0.245,0.0608826884,0.1677249024,0.0883535,0.515557814,0.194485821,0.000815404,0.964093307,"Delaware"
"468",15.3,90.6,10.3,1.6,5.2,9.8,25.7,2,0.7,7.1,139.32,8.3,12.6,20.7,0.0246429571548586,0.1687178787,0.336,8,0.303,0.0691478501,0.1817064059,0.088826156,0.518438228,0.164459725,0.000455245,0.620337626,"Delaware"
"469",11.8,91.5,3.9,3,5.6,12,1.7,1.9,0.3,6.3,151.9,4.2,17.3,15.7,0.0193251652301627,0.0883486298,0.25,8.7,0.212,0.0564945449,0.1207309899,0.069049712,0.505918246,0.18806072,0.000637245,0.833894075,"Connecticut"
"470",12.3,92.4,8.4,4,8.1,11.5,18.7,2.7,0.2,22.4,149.91,5.5,13.1,17.3,0.0199873346249952,0.1615280777,0.222,7.8,0.209,0.1721005796,0.1336608864,0.085985829,0.516716188,0.177541906,0.000792809,0.938528968,"Florida"
"471",10.1,89.9,13.8,2.3,5.2,8.5,17.4,1.6,0.2,68.5,140.09,8.1,12.2,20.6,0.0271945671700377,0.2066449076,0.212,9,0.23,0.2123335025,0.1351362174,0.086910593,0.514877744,0.166783909,0.000802787,0.95152167,"Florida"
"472",20,92.5,4.6,4.4,18.6,33.8,7.1,0.9,0.3,5.7,148.87,1.2,14.5,7.5,0.0644640166519098,0.1318402487,0.269,7.8,0.192,0.1195483292,0.1045443493,0.09029484,0.499685474,0.148152603,0.000344854,0.822286448,"Florida"
"473",23.4,83.9,18,1.8,6.9,11.1,7,0.7,1.4,2.8,125.56,6.8,13.8,19,0.0616111310776814,0.2250379403,0.314,6.5,0.347,0.1668466134,0.2135409882,0.076867816,0.466824037,0.156834942,0.000362244,0.275555779,"Florida"
"474",13.9,93.4,8.8,3.3,9.3,15.5,8.6,1.6,0.2,21.4,142.97,4.8,14.1,15.8,0.0307443580127483,0.1698112151,0.245,7.4,0.233,0.1994270033,0.1401089448,0.081882842,0.510616943,0.187843026,0.000616825,0.867577422,"Florida"
"475",11.5,93.4,7.4,4.3,11.5,15.8,6.8,1.3,0.2,27.9,148.74,4.3,13.3,14.4,0.0211367335292004,0.1580772264,0.203,7.9,0.187,0.2318580486,0.1111242132,0.070494474,0.509382805,0.150373037,0.000710877,0.877460189,"Florida"
"476",16.1,90.8,9,2.5,7.6,12.4,5.8,2.6,0.4,15.2,140.79,5.8,13.4,16.1,0.0444749179993699,0.1860055421,0.321,7.5,0.264,0.140492419,0.2073052754,0.08238161,0.513035553,0.190344635,0.000598503,0.880541514,"Florida"
"477",19.8,83,12.9,4.8,13.4,16.9,9.7,1.4,0.2,20.1,132.9,4.1,13.2,14,0.0341478221277887,0.2126659943,0.311,6.6,0.274,0.1827595815,0.1687656246,0.083138356,0.512827373,0.152742553,0.000613121,0.808535623,"Florida"
"478",14.6,68.6,18.3,2.1,7.6,12,12.6,0.2,0.1,31.6,119.58,7.9,11.7,20.3,0.0480140841313452,0.2627141989,0.368,7.4,0.3,0.2572019736,0.202322291,0.077267637,0.432569832,0.166813472,0.000253821,0.455711089,"Florida"
"479",19.7,90.5,10.4,2,5.6,10.7,18.1,1.1,0.3,6.3,131.66,5.6,13.9,19.1,0.0397146220728196,0.2156562568,0.359,6.8,0.31,0.1252367882,0.220678617,0.098282274,0.481493239,0.184210703,0.000468192,0.761590973,"Florida"
